event_time,hostname,parser,message,source,file_name,prefetch_ctime,prefetch_mtime,prefetch_size,prefetch_hash,prefetch_version,prefetch_file,prefetch_count
2025-10-19T21:47:42.2614797Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 13,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B7.pf,MSEDGE.EXE,2025-10-19T21:47:42.2614797Z,2025-11-07T14:03:05.2300601Z,48958,0XF6B373B7,Win11 (31),MSEDGE.EXE-F6B373B7.pf,13
2025-10-19T21:47:42.3129303Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 7,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B3.pf,MSEDGE.EXE,2025-10-19T21:47:42.3129303Z,2026-02-28T15:11:35.505035Z,30570,0XF6B373B3,Win11 (31),MSEDGE.EXE-F6B373B3.pf,7
2025-10-19T21:47:42.4057378Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 3,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B2.pf,MSEDGE.EXE,2025-10-19T21:47:42.4057378Z,2025-11-07T13:50:49.4909506Z,68186,0XF6B373B2,Win11 (31),MSEDGE.EXE-F6B373B2.pf,3
2025-10-19T21:47:42.5974921Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSEDGE.EXE Prefetch run count 6,C:\Windows\Prefetch\MSEDGE.EXE-F6B373B1.pf,MSEDGE.EXE,2025-10-19T21:47:42.5974921Z,2026-02-28T15:11:32.3855735Z,254664,0XF6B373B1,Win11 (31),MSEDGE.EXE-F6B373B1.pf,6
2025-10-19T21:48:01.6501564Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SVCHOST.EXE Prefetch run count 15,C:\Windows\Prefetch\SVCHOST.EXE-D8E52163.pf,SVCHOST.EXE,2025-10-19T21:48:01.6501564Z,2026-03-11T20:04:06.8375668Z,37202,0XD8E52163,Win11 (31),SVCHOST.EXE-D8E52163.pf,15
2025-10-19T21:48:10.8675976Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SLUI.EXE Prefetch run count 44,C:\Windows\Prefetch\SLUI.EXE-0A399C03.pf,SLUI.EXE,2025-10-19T21:48:10.8675976Z,2026-02-28T14:36:14.8608105Z,42980,0XA399C03,Win11 (31),SLUI.EXE-0A399C03.pf,44
2025-10-19T21:48:17.4537824Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): CMD.EXE Prefetch run count 43,C:\Windows\Prefetch\CMD.EXE-CD245F9E.pf,CMD.EXE,2025-10-19T21:48:17.4537824Z,2026-03-11T21:25:00.2483718Z,16276,0XCD245F9E,Win11 (31),CMD.EXE-CD245F9E.pf,43
2025-10-19T21:48:17.7183996Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): SPPEXTCOMOBJ.EXE Prefetch run count 38,C:\Windows\Prefetch\SPPEXTCOMOBJ.EXE-3F878F80.pf,SPPEXTCOMOBJ.EXE,2025-10-19T21:48:17.7183996Z,2026-02-28T14:36:18.6891817Z,25922,0X3F878F80,Win11 (31),SPPEXTCOMOBJ.EXE-3F878F80.pf,38
2025-10-19T21:48:18.6951958Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MSCORSVW.EXE Prefetch run count 66,C:\Windows\Prefetch\MSCORSVW.EXE-D593A5D9.pf,MSCORSVW.EXE,2025-10-19T21:48:18.6951958Z,2026-03-11T07:21:58.6797799Z,65498,0XD593A5D9,Win11 (31),MSCORSVW.EXE-D593A5D9.pf,66
2025-10-19T21:48:24.5736497Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): NGEN.EXE Prefetch run count 66,C:\Windows\Prefetch\NGEN.EXE-383F81D5.pf,NGEN.EXE,2025-10-19T21:48:24.5736497Z,2026-03-11T07:20:57.9495924Z,27278,0X383F81D5,Win11 (31),NGEN.EXE-383F81D5.pf,66
2025-10-19T21:48:26.8494786Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): MOBSYNC.EXE Prefetch run count 12,C:\Windows\Prefetch\MOBSYNC.EXE-A02D9B49.pf,MOBSYNC.EXE,2025-10-19T21:48:26.8494786Z,2026-03-11T21:22:07.4282372Z,54630,0XA02D9B49,Win11 (31),MOBSYNC.EXE-A02D9B49.pf,12
2025-10-19T21:48:27.4840308Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): TASKHOSTW.EXE Prefetch run count 1905,C:\Windows\Prefetch\TASKHOSTW.EXE-1EAF2222.pf,TASKHOSTW.EXE,2025-10-19T21:48:27.4840308Z,2026-03-12T08:29:03.7244805Z,249784,0X1EAF2222,Win11 (31),TASKHOSTW.EXE-1EAF2222.pf,1905
2025-10-19T21:48:28Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution: DLLHOST.EXE Prefetch run count 12,C:\Windows\Prefetch\DLLHOST.EXE-B51A0D95.pf,DLLHOST.EXE,2025-10-19T21:48:29.4156107Z,2025-11-07T13:22:11.9412771Z,29852,0XB51A0D95,Win11 (31),DLLHOST.EXE-B51A0D95.pf,12
2025-10-19T21:48:29.4115924Z,CLIENT2.onid-secure.local,Prefetch,Evidence of Execution (Btime): NGEN.EXE Prefetch run count 66,C:\Windows\Prefetch\NGEN.EXE-A8DBB043.pf,NGEN.EXE,2025-10-19T21:48:29.4115924Z,2026-03-11T07:20:58.1110553Z,26498,0XA8DBB043,Win11 (31),NGEN.EXE-A8DBB043.pf,66
